id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,file_size,token_count,coverage,alpha_pl_0,gamma_0,error_pl_0,delta_0,beta_0,alpha_se_0,error_se_0,alpha_pl_3,gamma_3,error_pl_3,delta_3,beta_3,alpha_se_3,error_se_3,alpha_pl_9,gamma_9,error_pl_9,delta_9,beta_9,alpha_se_9,error_se_9,alpha_pl_27,gamma_27,error_pl_27,delta_27,beta_27,alpha_se_27,error_se_27
PG18737,Argelaga florida,"Roig i Raventós, Josep",1883.0,1966.0,['ca'],3.0,"{'Short stories', 'Fiction'}",Text,162.39,31416.0,0.9737394957983192,0.019851670701066963,-0.41202109407860354,2.2963403338528683,0.7351430335540526,0.28960721674304707,-3.31202734016195,0.7493692853668894,0.07023684174019619,-0.5786250768821285,1.4326699825423757,596.2744672205533,0.0009675236818745456,593.6163340427071,1.4209178247803804,0.09866570379658057,-0.5990790958482435,6332.6984757420205,2.1756122849175625,0.15386163394260505,-0.6399386103437812,2641.0941264435132,0.19435548256467916,-0.7200444136494449,6.234643081659638,3.1962807326669487,0.12658439851417383,0.8016983216821896,3.8909895511404518
PG36231,L'Abrandament,"Soldevila, Carles",1891.0,1967.0,['ca'],6.0,{'Fiction'},Text,117.34,21317.0,0.9870056762208566,0.024894849186225688,-0.5230244248336569,8.291446079624937,10.076392550150683,0.047345680165597925,6.361553717593571,5.597606603191735,0.0614394362385455,-0.5436162802817398,0.44282068980268674,,,,,0.07784631764517842,-0.5337260739485009,0.09636344050961962,,,,,0.09715793423292614,-0.5443744039970558,0.109938357057557,0.6756937345083399,0.24829410231717491,-2.664863650809839,0.04178918657164063
PG52673,Els habitants de la lluna,"Morató, Joseph",1875.0,1918.0,['ca'],5.0,{'Catalan fiction'},Text,119.65,23722.0,0.9354185987690752,0.018077353693483973,-0.3996830699203226,116.58525775606287,0.8165092234507241,0.25901869934568217,-3.336333255129241,21.486774832373474,0.05495385846253614,-0.5084579207436976,0.37614002538628094,1.658751267917471,0.1754593279738103,-1.5568724802115028,0.11539226156879778,0.0945426636037735,-0.5810493290632951,0.01867463143134331,,,,,0.10503997470540367,-0.563786171176854,0.014454184456001658,,,,
PG24729,Paulina Buxareu,"Sagarra, Josep Maria de",1894.0,1961.0,['ca'],2.0,{'Fiction'},Text,234.2,44156.0,0.9833544705136334,0.0252135782540452,-0.4906762605700551,193.61532644043288,,,,,0.04778223461056782,-0.4283970128310214,0.262082563725224,1948.3254789936384,0.0002197132574457035,1945.2839063999736,0.26182638104052086,0.05782652527300622,-0.4091433485521791,0.08670417299274812,0.5471366336508097,0.257493731224378,-2.8814902032666345,0.01997274393398504,0.10274780337425046,-0.4994248204720274,0.032872577942697684,0.30886635517016786,0.33103900876717746,-3.0906279119947566,0.007052504007897127
PG20253,Llibre D'històries,"Casellas, Raimón",1855.0,1910.0,['ca'],8.0,{'Catalan literature'},Text,125.09,23386.0,0.9834516377319764,0.026096718601009927,-0.4704800362049741,613.1788659142846,7.625333792682612,0.055069918609211975,3.9527447114115337,408.4737774728336,0.06456660883407765,-0.5019354263081517,0.023064509217222112,,,,,0.07011149157993667,-0.4530144903065729,0.015389275367034676,,,,,0.0710302000677131,-0.4227570251108881,0.03553472623739855,7.98009920829363,0.04305986064283811,5.146721986086594,0.03168401031450669
PG27142,Contes D'Andersen,"Andersen, H. C. (Hans Christian)",1805.0,1875.0,['ca'],19.0,"{""Children's stories, Danish -- Translations into Catalan"", 'Fairy tales -- Denmark'}",Text,178.12,34169.0,0.9853083204073868,0.026487887396007628,-0.4705106634543888,0.9418931106273669,10.084168475565624,0.04259027975012701,6.4298962159961315,0.6289271511954853,0.06406308706549434,-0.4881014796582053,0.10841295469480355,7.07297645562126,0.05726059799517794,4.207738223621799,0.06699001382811312,0.09140515465309659,-0.510964275160379,0.05444206410968193,1.9168339107850156,0.14879584175737262,-0.9145166884373235,0.0191408948359375,0.15668139877872367,-0.596644961537059,0.021242659941057975,1.6417280411854025,0.1668889634980423,-1.0229822095546894,0.012126728096634266
PG23021,"Sang Nova: Novel, la muntanyenca (Volumes 1 and 2)","Vayreda, Marià",1853.0,1903.0,['ca'],11.0,{'Fiction'},Text,473.6,88207.0,0.9807611640799484,0.022812335879698425,-0.4074452650818688,12.70967536044312,3.4249221618813763,0.094550001473535,-0.414956709343499,5.5534340196206795,0.05681045839034903,-0.4385612800894718,0.048873103010496355,4.516233096153314,0.07531119650762734,1.5037363636580303,0.020304929257312903,0.08134440637881371,-0.4631172694921511,0.01899433707804143,2.059771164255696,0.13249675467898778,-0.8221892757413077,0.002905888085863825,0.1243309729832458,-0.5213129216070332,0.007032813771934644,1.5445656709855662,0.15903139120232118,-1.2394863706330685,0.0013995698195643695
PG17219,La creació d'Eva i altres contes,"Carner, Josep",1884.0,1971.0,['ca'],8.0,{'Fiction'},Text,124.74,23273.0,0.9815236540196794,0.02602983765390141,-0.4897060820098279,883.0306244114646,4.155750476255292,0.09652237700527287,0.45988444136284506,394.2560575563748,0.06801713054223064,-0.5447976730618697,25.2397929127571,74.16691921193075,0.007181074325715584,71.46251903285413,24.165575022854846,0.09257385192249303,-0.5545071408769647,8.961175140455062,1.903329416926209,0.1576317252118867,-0.9708089407281923,4.215186193413878,0.1488521596777571,-0.6252031364095988,9.787508753290437,0.10595906180264628,0.5153275583528316,-3.52934054127232,1.2882415752735372
PG34249,Los Cent Conçeyls del Conçeyl de Cent,"Gener, Pompeyo",1848.0,1920.0,['ca'],3.0,"{'Proverbs, Catalan'}",Text,27.92,5436.0,0.9107799852832964,0.03513473629030681,-0.3131362825334021,86.0071967341577,1.296749213604627,0.1549785025022816,-2.1575714578486465,50.48842673144605,0.0837048566150277,-0.35865468795658584,3.5797468520090248,1.5543651770483662,0.13866547200043983,-1.159842414379617,2.0808976140277915,0.10826832713121154,-0.35799590879791904,1.4146640445027492,0.03319375797211669,0.6387452812330164,-3.0798468362240126,0.1005141828642391,0.22457995915113985,-0.47436402112162757,9.67580398455561,0.00332170768875863,0.9999999884401338,-3.1792338633530925,0.41080852944355145
PG26502,Tres Anglesos S'esbargeixen,"Jerome, Jerome K. (Jerome Klapka)",1859.0,1927.0,['ca'],8.0,"{'British -- Germany -- Fiction', 'Humorous stories', 'Black Forest (Germany) -- Fiction'}",Text,311.82,59423.0,0.9909462665971088,0.024278567983994255,-0.44096208623787564,2.037382202845306,10.974367361473243,0.03692369643396774,7.233487813599488,1.4570616449259015,0.05677518735739539,-0.4482522666432636,0.5430961205792785,3.2146614366338633,0.09963107230330753,0.15643460652986757,0.2753573348523198,0.08389724359406794,-0.48322019096895413,17.26239519580379,1.2876228886154004,0.1814672485746221,-1.6933491093118214,8.378794248666052,0.13430889675980517,-0.5525760449153113,3.505384606733565,0.19073207976173087,0.40978366609352296,-3.2057424928276688,1.077234255289607
PG20658,En Pere i altres contes,"Planas i Font, Claudi",,,['ca'],11.0,{'Short stories'},Text,153.39,29849.0,0.9752755536198868,0.020353700694272146,-0.4809373551796753,27.06566095707747,2.186143535969647,0.15982866815591285,-1.773904612305024,16.846786086368237,0.05378317538788686,-0.5488579735979764,0.14777292758510718,,,,,0.06024848050038543,-0.5070115011283887,0.06728196835228911,585.5544832493518,0.0008629446776583549,582.7421329995657,0.06689123864071038,0.07538113635439024,-0.5203599591781491,0.04043346411476166,0.5502999756634386,0.2660586875786762,-3.052272886963611,0.008754865633464847
PG29944,Tres Homes Dins D'una Barca (Sense comptar-hi el gos),"Jerome, Jerome K. (Jerome Klapka)",1859.0,1927.0,['ca'],17.0,"{'Humorous stories, English', 'Young men -- Travel -- England -- Thames River -- Fiction', 'Male friendship -- Fiction', 'Boats and boating -- England -- Thames River -- Fiction', 'Dogs -- Fiction', 'Thames River (England) -- Fiction'}",Text,313.79,58967.0,0.9890786372038598,0.026160819496638673,-0.48283543183182337,3.5289350989762442,6.9184221584964565,0.061195248005090096,3.24102939706672,1.7716318394157209,0.06470618462048888,-0.49983975494622246,60331.37464031102,2.8628127680996367,0.11828639887210192,-0.1103329722131975,33275.670250251664,0.09873423037516138,-0.5395384486210786,3.035727085839602,0.7546951247068122,0.2587225065242984,-2.2672607341239335,0.7269421107464906,0.19555600886693,-0.6573168932759926,29.902593706465762,0.23471231075016577,0.4108375213385993,-3.0059572517553064,5.47445376500816
PG22296,Un tros de paper: Two Volumes,,,,['ca'],4.0,{'Catalan language -- Texts'},Text,290.04,57884.0,0.9861274272683298,0.0250570848492745,-0.411233282495203,0.04612650864395466,5.043637792531096,0.06931589096196236,1.316143422325098,0.027179954169214995,0.0596488593020692,-0.45275224732000896,0.00937413455997934,,,,,0.0747458658966872,-0.4453069802978575,0.007455169489493226,25.28030093245488,0.016494272142575022,22.634530630202516,0.006351646326079421,0.09736783558372654,-0.47014941558739143,0.004899922282763499,3.490402940454097,0.08837720209050391,0.7666661623596954,0.0026620090006732196
PG15346,"Pinya de Rosa. Volume 1, Books 1-3","Ruyra, Joaquín",1858.0,1939.0,['ca'],4.0,{'Fiction'},Text,189.21,35999.0,0.969110253062585,0.023841891212320682,-0.4480188965057659,0.8347242536509812,2.420348387864846,0.13723302540672735,-1.3841485653447,0.26383719284757445,0.06836909481284942,-0.5277581717756903,0.011591412044945876,,,,,0.0876252530489431,-0.5231876629468346,0.007680409438680787,,,,,0.09870895848929268,-0.5165777575862045,0.007291068618656201,,,,
PG56856,L'auca del senyor Esteve: ab redolins dibuixats per en Ramón Casas; escrits per en Gabriel Alomar,"Rusiñol, Santiago",,,['ca'],30.0,set(),Text,235.01,47299.0,0.9850736802046556,0.02783281038325692,-0.41783690487069775,0.7560136030036871,0.46053386943579877,0.3805991927634642,-3.2804635103313182,0.16416682956579645,0.09736048871194071,-0.5839379782091891,0.11374829380934381,9.8870375834189,0.05062430571587206,7.446775128778401,0.05038752116523635,0.13780081310964032,-0.6104187455389072,0.05836869793213306,4.369416120715228,0.09700578346911289,2.046555840114479,0.013488038728332145,0.22887185290917694,-0.6885666688739996,0.021483705476737332,3.239700730578041,0.12176423234459721,1.0590240759937146,0.006054578484336917
PG32691,El Tresor del Vell Cavaller,Erckmann-Chatrian,,,['ca'],8.0,"{'Werewolves -- Fiction', 'Treasure troves -- Fiction'}",Text,224.77,42713.0,0.9715309156462903,0.028072575948340766,-0.5376357867027195,15.89568484926632,27.67685360120673,0.01874940750373059,24.095529578278303,12.507010741320219,0.06777965559160505,-0.5618221054392459,0.4059236744745325,,,,,0.08821300005654585,-0.5590734315989437,0.15409737604981613,9.414114010898754,0.04916707494880077,6.811551254015636,0.10578181695669052,0.14155162351044148,-0.6272531182308061,0.1252427783163626,1.1666235105656622,0.20635076028881952,-1.779070515283644,0.04103302998226832
PG17819,L'amic Fritz,Erckmann-Chatrian,,,['ca'],6.0,{'France -- History -- 19th century -- Fiction'},Text,293.71,56152.0,0.9725210143895142,0.0297024596469681,-0.4885425280946844,0.4834835848796726,6.6024322817588486,0.06474942758591097,3.053614159498176,0.19367463415561972,0.07562981604135828,-0.5379608142068419,0.5992658904898654,,,,,0.09651873597568929,-0.5291200893688979,0.8050474842277573,2.667857481625795,0.12276489396336474,-0.056021174656055536,0.3968622151655872,0.17195830048680108,-0.6182734364636974,1.6476906254452588,1.0234397837629443,0.21835180145016714,-1.7600759976998015,0.8039963234819876
PG52409,Visions & Cants,"Maragall, Joan",1860.0,1911.0,['ca'],5.0,{'Catalan poetry'},Text,30.0,6287.0,0.9739144265945602,0.023534908386588504,-0.3723265489572564,38.00145095621627,0.8800740167942602,0.23864721960236865,-2.9811951015720113,5.420116747177569,0.08252841683927518,-0.5221745559217241,28.328956881952994,16.498206073472794,0.02890004934987178,13.942138336441776,24.46544989311558,0.12204042701268099,-0.5536956834669735,1.9359897467940597,7.8309663552006015,0.056839915268831656,5.529754996233486,1.4892074593702198,0.19554098662866684,-0.6241772014480332,621.3629795277698,0.8042487096626375,0.24552950418686179,-1.9570054925021125,337.3760144150517
PG27536,El Marxant de Venecia,"Shakespeare, William",1564.0,1616.0,['ca'],9.0,"{'Moneylenders -- Drama', 'Jews -- Italy -- Drama', 'Comedies', 'Venice (Italy) -- Drama'}",Text,119.13,22634.0,0.9486171246796854,0.02418154703784907,-0.49528628781952905,8.659515090572082,1.6365261771402508,0.19762009832452984,-2.187674401686237,1.7187201683171436,0.06971542998314921,-0.5854915532356045,21.61747872102396,2.234913139340269,0.16023393514498216,-0.7457278039663381,5.730524814075431,0.11944264096256367,-0.6608215290480188,90.61594039974165,1.967192092698433,0.1752933798261927,-0.7511356744058768,31.575667770859113,0.25281339008644244,-0.7941683520434302,42.84849010953528,1.1928569118127588,0.23313429690944013,-1.487685241285268,17.866875610720886
PG30890,Les Aventures De Tom Sawyer,"Twain, Mark",1835.0,1910.0,['ca'],31.0,"{'Male friendship -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Humorous stories', 'Missouri -- Fiction', 'Child witnesses -- Fiction', 'Boys -- Fiction', 'Adventure stories', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Mississippi River Valley -- Fiction'}",Text,357.52,68172.0,0.9838790119110484,0.026717227436323737,-0.4282410257165094,5.382442340676359,2.12205553827929,0.143361192356202,-1.5866647362521598,1.2337392789299946,0.06819771668694058,-0.4868418888411629,0.38578181666457595,1.3792888378084156,0.18913084052666088,-1.6455625484616634,0.046204407694665474,0.11087070513681689,-0.5475630957547074,0.4030546789837212,1.0538042769554665,0.22082771816316854,-1.7729561216591296,0.07105723845265863,0.22140832623016857,-0.668373414955294,0.11032741180744483,1.3347396785787053,0.19968851188997466,-1.1911955451115275,0.030842192749928325
